hour_utc,samples,rv10_bp,vol10,trades10,risk,critical_pct
4,360,4.17,109.66,17358.0,60.0,31.9
10,360,4.14,109.7,19956.0,59.6,32.2
20,360,4.57,87.92,18271.0,59.6,31.9
21,360,4.6,91.75,17368.0,59.5,32.8
5,360,4.21,122.91,17773.0,57.7,27.2
3,360,4.38,115.45,19583.0,57.6,22.5
6,360,4.11,123.79,18453.0,57.5,20.8
9,360,4.42,117.56,20034.0,56.4,27.8
11,360,5.09,154.51,25462.0,55.9,26.4
7,360,4.34,142.87,19955.0,55.8,25.3
19,360,4.88,89.38,23129.0,52.3,23.3
2,360,4.81,110.18,21469.0,52.1,17.8
8,360,4.8,151.22,21501.0,51.4,22.5
12,360,5.12,125.99,26585.0,50.4,22.8
22,360,5.63,117.35,23689.0,50.0,21.1
23,360,5.5,141.71,25888.0,48.7,16.9
18,360,5.3,105.35,27463.0,47.6,24.7
1,360,5.7,123.65,26643.0,45.6,16.1
17,360,5.8,143.99,32296.0,43.0,20.6
0,360,6.31,151.63,30175.0,42.0,13.6
16,360,6.12,153.99,35651.0,40.0,16.4
13,360,6.78,189.55,40625.0,38.0,14.2
15,360,7.48,218.28,43502.0,30.8,9.4
14,360,7.9,227.76,49316.0,28.3,9.4
