hour_utc,fixes,avg_zmax,spike_pct,suspicious_pct,avg_abs_fix_bp
21,72,9.97,15.28,8.33,0.341
14,71,3.92,14.08,7.04,0.765
17,70,6.87,11.43,5.71,0.283
19,72,8.79,20.83,5.56,0.613
8,60,7.73,15.0,5.0,0.308
12,61,11.8,14.75,4.92,0.261
22,72,31.92,12.5,4.17,0.946
18,72,8.85,12.5,4.17,0.354
23,72,5.05,11.11,4.17,0.667
15,72,4.24,9.72,4.17,0.562
20,72,3.73,8.33,4.17,0.315
2,59,4.86,11.86,3.39,0.429
4,60,4.97,8.33,3.33,0.23
16,72,8.09,8.33,2.78,0.324
0,72,4.43,5.56,2.78,0.32
5,58,3.48,3.45,1.72,0.182
3,60,10.44,18.33,1.67,0.268
7,60,10.34,18.33,1.67,0.448
6,60,8.32,11.67,1.67,0.347
1,66,1.52,9.09,1.52,0.602
13,72,9.94,18.06,1.39,0.993
9,60,11.09,16.67,0.0,0.283
11,60,9.09,11.67,0.0,0.216
10,60,7.36,10.0,0.0,0.139
