Window Start (UTC),Price to Beat,UP (cents),DOWN (cents),Quality,Captured At (UTC),Source,Notes
2026-04-07T12:20:00Z,68553.57,100,,partial,2026-04-07T13:19:15.200Z,gamma+clob,ptb_source: local_1s; prices: http_fallback; up_buy: fallback=gamma_outcome; down_buy: fallback=none
2026-04-07T12:50:00Z,68553.57,100,,partial,2026-04-07T13:19:17.068Z,gamma+clob,ptb_source: local_1s; prices: http_fallback; up_buy: fallback=gamma_outcome; down_buy: fallback=none
2026-04-07T13:00:00Z,68553.57,100,,partial,2026-04-07T13:19:17.586Z,gamma+clob,ptb_source: local_1s; prices: http_fallback; up_buy: fallback=gamma_outcome; down_buy: fallback=none
2026-04-07T13:05:00Z,68413.18,52,49,good,2026-04-07T13:05:00.062Z,gamma+ws,market: prefetched; ptb_source: local_1s; prices: websocket
2026-04-07T13:10:00Z,68616.22,47,54,good,2026-04-07T13:10:00.564Z,gamma+ws,market: prefetched; ptb_source: local_1s; prices: websocket
2026-04-07T13:15:00Z,68534.81,50,51,good,2026-04-07T13:15:00.898Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:20:00Z,68553.57,51,50,good,2026-04-07T13:20:01.154Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:25:00Z,68492.36,52,49,good,2026-04-07T13:25:00.436Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:30:00Z,68481.32,52,49,good,2026-04-07T13:30:00.752Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:35:00Z,68456.64,53,49,good,2026-04-07T13:35:01.008Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:40:00Z,68479.54,53,48,good,2026-04-07T13:40:00.317Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:45:00Z,68350.01,53,49,good,2026-04-07T13:45:00.595Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:50:00Z,68217.65,62,39,good,2026-04-07T13:50:00.861Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T13:55:00Z,68424.41,53,48,good,2026-04-07T13:55:01.141Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:00:00Z,68262.32,52,53,good,2026-04-07T14:00:00.454Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:05:00Z,68146.05,53,48,good,2026-04-07T14:05:00.731Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:10:00Z,67868.42,56,45,good,2026-04-07T14:10:01.018Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:15:00Z,67881.2,51,50,good,2026-04-07T14:15:00.317Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:20:00Z,67787.14,53,48,good,2026-04-07T14:20:00.568Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:25:00Z,68125.96,52,49,good,2026-04-07T14:25:00.852Z,gamma+ws,market: prefetched; ptb_source: local_1s; prices: websocket
2026-04-07T14:30:00Z,68126.71,50,51,good,2026-04-07T14:30:01.124Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:35:00Z,68142.77,50,52,good,2026-04-07T14:35:00.383Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:45:00Z,68012.14,55,47,good,2026-04-07T14:45:00.047Z,gamma+ws,market: prefetched; ptb_source: local_1s; prices: websocket
2026-04-07T14:50:00Z,68113.49,50,51,good,2026-04-07T14:50:00.357Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T14:55:00Z,68019.16,52,49,good,2026-04-07T14:55:00.637Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:00:00Z,67874.01,51,51,good,2026-04-07T15:00:00.955Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:05:00Z,67875.4,52,49,good,2026-04-07T15:05:01.239Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:10:00Z,67855.57,55,48,good,2026-04-07T15:10:00.866Z,gamma+ws,market: prefetched; ptb_source: local_1s; prices: websocket
2026-04-07T15:15:00Z,67875.21,54,47,good,2026-04-07T15:15:00.756Z,gamma+ws,market: prefetched; ptb_source: local_1s; prices: websocket
2026-04-07T15:20:00Z,68054.79,52,49,good,2026-04-07T15:20:01.019Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:25:00Z,68038.01,50,51,good,2026-04-07T15:25:00.320Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:30:00Z,68194.01,48,55,good,2026-04-07T15:30:00.597Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:35:00Z,68154.44,49,52,good,2026-04-07T15:35:00.869Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:40:00Z,68099.37,48,53,good,2026-04-07T15:40:01.153Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:45:00Z,68113.98,49,52,good,2026-04-07T15:45:00.433Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:50:00Z,68119.3,51,50,good,2026-04-07T15:50:00.696Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T15:55:00Z,68154.66,50,51,good,2026-04-07T15:55:00.945Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:00:00Z,68171.2,50,51,good,2026-04-07T16:00:01.239Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:05:00Z,68283.73,49,53,good,2026-04-07T16:05:00.503Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:10:00Z,68136.85,50,51,good,2026-04-07T16:10:00.774Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:15:00Z,68159.66,51,50,good,2026-04-07T16:15:01.063Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:20:00Z,68122.02,50,51,good,2026-04-07T16:20:00.344Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:25:00Z,68283.9,49,52,good,2026-04-07T16:25:00.602Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:30:00Z,68393.24,49,52,good,2026-04-07T16:30:00.872Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:35:00Z,68356.43,48,53,good,2026-04-07T16:35:01.152Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:40:00Z,68315.67,49,52,good,2026-04-07T16:40:00.430Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:45:00Z,68315.97,50,51,good,2026-04-07T16:45:00.690Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:50:00Z,68313.69,50,51,good,2026-04-07T16:50:00.967Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T16:55:00Z,68252.37,49,52,good,2026-04-07T16:55:01.244Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:00:00Z,68229.99,52,49,good,2026-04-07T17:00:00.537Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:05:00Z,68341.76,47,54,good,2026-04-07T17:05:00.854Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:10:00Z,68324.01,47,54,good,2026-04-07T17:10:01.137Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:15:00Z,68299.13,51,50,good,2026-04-07T17:15:00.392Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:20:00Z,68259.91,51,50,good,2026-04-07T17:20:00.643Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:25:00Z,68355.27,52,49,good,2026-04-07T17:25:00.926Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:30:00Z,68408.44,60,41,good,2026-04-07T17:30:01.188Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:35:00Z,68505.99,44,59,good,2026-04-07T17:35:00.476Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:40:00Z,68748.88,46,55,good,2026-04-07T17:40:00.760Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:45:00Z,68693.05,46,55,good,2026-04-07T17:45:01.014Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:50:00Z,68732.94,50,51,good,2026-04-07T17:50:00.297Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T17:55:00Z,68759.3,49,52,good,2026-04-07T17:55:00.575Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T18:00:00Z,68705.82,48,53,good,2026-04-07T18:00:00.878Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T18:05:00Z,68661.46,46,55,good,2026-04-07T18:05:01.141Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
2026-04-07T18:10:00Z,68644.6,47,54,good,2026-04-07T18:10:00.396Z,gamma+clob,market: prefetched; ptb_source: local_1s; prices: http_fallback
